model_name,domain,speaker,file,y_true,perturb,score_clean,score_pert,delta
single_torgo,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,gain_0.7,-0.30873698,-0.36253640,0.05379942
single_uaspeech,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,gain_0.7,0.99896537,1.09084045,0.09187508
multi_uaspeech+torgo,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,gain_0.7,-1.04971201,-1.01532603,0.03438598
single_torgo,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,gain_1.3,-0.30873698,-0.06492280,0.24381418
single_uaspeech,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,gain_1.3,0.99896537,0.94620170,0.05276367
multi_uaspeech+torgo,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,gain_1.3,-1.04971201,-0.97034892,0.07936309
single_torgo,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,noise_0.002,-0.30873698,-0.17327839,0.13545860
single_uaspeech,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,noise_0.002,0.99896537,0.99972852,0.00076315
multi_uaspeech+torgo,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,noise_0.002,-1.04971201,-0.96867748,0.08103453
single_torgo,TORGO,MC04,/Users/ashsanjay/.cache/kagglehub/datasets/pranaykoppula/torgo-audio/versions/1/M_Con/wav_arrayMic_MC04S02/wav_arrayMic_MC04S02_0980.wav,0,noise_0.005,-0.30873698,-0.02733269,0.28140429
